R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo,Unnamed: 35,Broj povrijeđenih osoba,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Kategorija saobraćajnice.1,Datum i vrijeme nastanka saobraćajne nezgode,Dio dana,Stanje kolovoza.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Broj poginulih osoba.1,Unnamed: 73,Unnamed: 74,Tip saobraćajne nezgode (izvorno iz zapisnika MUP-a),Tip saobraćajne nezgode,Putnički automobil.1,Pješak.1,Romobil.1,Bicikl.1,Motocikl.1,Lako teretno vozilo.1,Teško teretno vozilo.1,Autobus.1,Traktor.1,Ostalo.1,Unnamed: 87
22,43.87857,18.393063,Magistralna cesta,12.05.2022.,19:30:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,43.858851,18.420403,Magistralna cesta,02.02.2022.,19:00:00,Nepoznato,Noć,Nepoznato,0,0,1,Udar u pješaka,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,1.0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,43.856234,18.412972,Magistralna cesta,20.05.2022.,13:02:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar prilikom skretanja,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Petokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,43.878932,18.399796,Magistralna cesta,22.05.2022.,13:30:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,43.871772,18.406711,Magistralna cesta,24.05.2022.,07:15:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Dvosmjerna cesta,Krivina,Ne,Trokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,43.855823,18.408835,Magistralna cesta,25.05.2022.,13:00:00,Nepoznato,Dan,Nepoznato,0,0,1,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,43.855725,18.406682,Magistralna cesta,30.05.2022.,13:15:00,Nepoznato,Dan,Nepoznato,0,0,1,Pad motocikla na kolovoz,Urbano,Sa dvije kolovozne trake,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,43.855669,18.413432,Lokalna cesta,07.06.2022.,08:55:00,Nepoznato,Dan,Nepoznato,0,0,1,Sudar vozila i e-romobila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,1.0,,1.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,43.85638,18.41355,Magistralna cesta,11.06.2022.,08:55:00,Nepoznato,Dan,Nepoznato,0,0,2,Udar u zadnji dio vozila,Urbano,Sa dvije kolovozne trake,Krivina,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,43.86424,18.411121,Magistralna cesta,12.06.2022.,17:20:00,Oblačno,Dan,Suh,0,0,2,Sudar prilikom skretanja,Urbano,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,1.0,,,,,,,1.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
