R.br.,Latituda,Longituda,Kategorija saobraćajnice,Datum nastanka saobraćajne nezgode,Vrijeme nastanka saobraćajne nezgode,Vremenske prilike,Period dana,Stanje kolovoza,Broj poginulih osoba,Broj teško povrijeđenih osoba,Broj lakše povrijeđenih osoba,"Vrsta, tip saobraćajne nezgode",Područje,Tip puta,Horizontalna geometrija,Vertikalna geometrija,Tip raskrsnice,Tip prelaza,Pješačka površina,Rasvjeta,Broj povrijeđenih učesnika 30 dana,Broj smrtno stradalih učesnika nakon 30 dana,Ukupno povrijeđenih učesnika,Ukupno smrtno stradalih učesnika,Putnički automobil,Pješak,Romobil,Bicikl,Motocikl,Lako teretno vozilo,Teško teretno vozilo,Autobus,Traktor,Ostalo,Unnamed: 35,Broj povrijeđenih osoba,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Kategorija saobraćajnice.1,Datum i vrijeme nastanka saobraćajne nezgode,Dio dana,Stanje kolovoza.1,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Broj poginulih osoba.1,Unnamed: 73,Unnamed: 74,Tip saobraćajne nezgode (izvorno iz zapisnika MUP-a),Tip saobraćajne nezgode,Putnički automobil.1,Pješak.1,Romobil.1,Bicikl.1,Motocikl.1,Lako teretno vozilo.1,Teško teretno vozilo.1,Autobus.1,Traktor.1,Ostalo.1,Unnamed: 87
429,43.8585847,18.4321179,Lokalna cesta,02.09.2022,17:10:00,Magla,Dan,Mokar,0,0,0,Pad motocikla na kolovoz,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Ne,0,0,0,0,,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,43.857188,18.426423,Lokalna cesta,04.10.2022,12:12:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,1.0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,LTV,,,,,
431,43.860027,18.438595,Magistralna cesta,23.10.2022,18:30:00,Vedro,Dan,Suh,0,0,3,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Da,T-raskrsnica,Bez prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
432,43.858187,18.430566,Lokalna cesta,27.10.2022,17:20:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. slijetanje sa kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
433,43.858984,18.433695,Lokalna cesta,03.11.2022,15:30:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Krivina,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
434,43.85396,18.430206,Lokalna cesta,11.11.2022,10:50:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. skretanje - bočni udar,Bočni sudar,PA,,,,,,,,,,
435,43.8599813,18.4269905,Lokalna cesta,23.12.2022,07:50:00,Magla,Dan,Mokar,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 111. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
436,43.8534656817766,18.4649619997483,Magistralna cesta,04.01.2023,07:25:00,Vedro,Dan,Mokar,0,0,1,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
437,43.860019601934,18.4269868992531,Lokalna cesta,18.01.2023,20:00:00,Sa snijegom,Noć,Mokar,0,0,3,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,3,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
438,43.8581685,18.4264182,Lokalna cesta,07.02.2023,14:20:00,Vedro,Dan,Mokar,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. slijetanje sa kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
439,43.8587485042605,18.4328839230615,Lokalna cesta,24.02.2023,23:40:00,Vedro,Noć,Mokar,0,1,2,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,3,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. prelazak u suprotnu traku,"Preticanje, obilaženje",PA,,,,,,,,,,
440,43.859916,18.426363,Lokalna cesta,14.03.2023,09:35:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
441,43.853951,18.430217,Lokalna cesta,21.03.2023,12:30:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
442,43.857008,18.429661,Lokalna cesta,17.04.2023,20:20:00,Kiša,Noć,Mokar,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
443,43.860082,18.42854,Lokalna cesta,05.05.2023,15:15:00,Vedro,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,,,,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,,,,,Motocikl,,,,,,
444,43.857215,18.426602,Lokalna cesta,14.05.2023,02:10:00,Kiša,Noć,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
445,43.858734,18.432886,Lokalna cesta,22.05.2023,14:18:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
446,43.859979,18.426408,Lokalna cesta,03.06.2023,13:20:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. slijetanje sa kolovoza,Izlijetanje izvan kolovoza,PA,,,,,,,,,,
447,43.852543,18.433223,Lokalna cesta,02.07.2023,19:15:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,,,,,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 96. udar u zadnji dio vozila,Udar u zadnji dio vozila,,,,,,,,Autobus,,,
448,43.8599912,18.4277221,Lokalna cesta,06.07.2023,18:40:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 111. bočni udar,Bočni sudar,PA,,,,,,,,,,
449,43.856021,18.429852,Lokalna cesta,19.08.2023,14:10:00,Kiša,Dan,Mokar,0,0,1,Sudar vozila i bicikla,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,1.0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 96. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,Romobil,,,,,,,,
450,43.855355,18.430369,Lokalna cesta,22.08.2023,21:50:00,Vedro,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,,,,,,LTV,,,,,
451,43.85532,18.458137,Magistralna cesta,26.08.2023,19:50:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 96. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
452,43.857054,18.426066,Lokalna cesta,21.09.2023,14:28:00,Kiša,Dan,Mokar,0,0,1,Pad motocikla na kolovoz,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,,,,,1.0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,,,,,Motocikl,,,,,,
453,43.852889,18.4306,Lokalna cesta,19.10.2023,07:50:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
454,43.85006,18.46432,Magistralna cesta,23.10.2023,09:20:00,Vedro,Dan,Suh,0,0,2,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,2,0,4.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
455,43.8587485042605,18.4328839230615,Lokalna cesta,24.10.2023,09:30:00,Vedro,Dan,Suh,0,0,1,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,1.0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. čeoni udar,Čeoni sudar,PA,,,,Motocikl,,,,,,
456,43.855935,18.456232,Magistralna cesta,15.11.2023,06:50:00,Oblačno,Dan,Suh,0,0,1,Udar zadnjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
457,43.856821,18.429772,Lokalna cesta,14.12.2023,18:45:00,Oblačno,Noć,Suh,0,0,1,Udar u pješaka,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
458,43.856257,18.430233,Lokalna cesta,31.12.2023,17:30:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom preticanja,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 99. bočni udar,Bočni sudar,PA,,,,,,,,,,
459,43.859624,18.432468,Lokalna cesta,07.02.2024,11:25:00,Vedro,Dan,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. prelazak u suprotnu traku,"Preticanje, obilaženje",PA,,,,,,,,,,
460,43.8601514599642,18.426990496523,Lokalna cesta,01.03.2024,12:50:00,Oblačno,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
461,43.8533789,18.461093,Magistralna cesta,30.04.2024,16:05:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 41. udar zadnjim dijelom vozila,Udar zadnjim dijelom vozila,PA,,,,,,,,,,
462,43.837327,18.452504,Lokalna cesta,08.07.2024,12:58:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
463,43.857225,18.426368,Lokalna cesta,12.07.2024,18:10:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
464,43.857064,18.453733,Magistralna cesta,30.07.2024,15:00:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
465,43.858268,18.430792,Lokalna cesta,02.08.2024,16:00:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,T-raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
466,43.860129,18.4306,Lokalna cesta,17.08.2024,14:20:00,Oblačno,Dan,Mokar,0,0,1,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 111. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
467,43.850498,18.464134,Magistralna cesta,10.09.2024,12:40:00,Kiša,Dan,Mokar,0,0,1,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,3.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 38. bočni udar,Bočni sudar,PA,,,,,,,,,,
468,43.855336,18.458206,Magistralna cesta,25.09.2024,16:05:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,4.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. prelazak u suprotnu traku,"Preticanje, obilaženje",PA,,,,,,,,,,
469,43.86013,18.430665,Lokalna cesta,30.09.2024,02:15:00,Oblačno,Noć,Mokar,0,0,2,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. i 43. udar u bočni dio,Bočni sudar,PA,,,,,,,,,,
470,43.859811,18.425744,Lokalna cesta,19.10.2024,12:30:00,Vedro,Dan,Suh,0,0,2,Udar u pješaka,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
471,43.858718,18.432846,Lokalna cesta,20.10.2024,13:45:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 108. udar u bočni dio,Bočni sudar,PA,,,,,,,,,,
472,43.857428,18.452395,Lokalna cesta,30.10.2024,11:20:00,Vedro,Dan,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,2,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. skretanje - bočni udar,Bočni sudar,PA,,,,,,,,,,
473,43.85955,18.43302,Magistralna cesta,05.11.2024,15:30:00,Vedro,Dan,Suh,0,0,1,Udar u pješaka,Ruralno,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. bočni dio,Bočni sudar,PA,,,,,,,,,,
474,43.85709,18.45384,Lokalna cesta,15.11.2024,16:20:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
475,43.8446,18.36704,Lokalna cesta,01.09.2022,11:00:00,Oblačno,Dan,Suh,0,0,1,Izlijetanje izvan kolovoza,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Da,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. bočni udar,Bočni sudar,PA,,,,,,,,,,
476,43.849,18.3637,Magistralna cesta,07.09.2022,15:15:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. skretanje - bočni udar,Bočni sudar,PA,,,,,,,,,,
477,43.8515,18.3616,Lokalna cesta,09.09.2022,14:15:00,Oblačno,Dan,Mokar,0,0,2,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,2,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
478,43.8504590452323,18.359903487433,Magistralna cesta,10.09.2022,15:40:00,Oblačno,Dan,Mokar,0,0,1,Sudar prilikom skretanja,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
479,43.8451260640653,18.3406564661347,Magistralna cesta,10.09.2022,21:45:00,Vedro,Noć,Suh,0,0,2,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,U blizini pješačkog prelaza,Da,Da,0,0,2,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
480,43.84522,18.34039,Magistralna cesta,11.09.2022,23:00:00,Vedro,Noć,Suh,0,0,1,Sudar prilikom obilaženja,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
481,43.8575,18.35767,Lokalna cesta,14.09.2022,12:25:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,2.0,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
482,43.84701,18.35245,Magistralna cesta,15.09.2022,12:15:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,3.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. skretanje - bočni udar,Bočni sudar,PA,,,,,,,,,,
483,43.84809,18.35964,Magistralna cesta,20.09.2022,18:10:00,Vedro,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,1.0,,,,,1.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,LTV,,,,,
484,43.84901,18.36566,Magistralna cesta,23.09.2022,09:15:00,Vedro,Dan,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Jednosmjerna cesta,Pravac,Ne,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,3.0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 36. bočni udar,Bočni sudar,PA,,,,,,,,,,
485,43.8451260640653,18.3406564661347,Lokalna cesta,25.09.2022,20:30:00,Oblačno,Noć,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Ne,Četverokraka raskrsnica,Pješački prelaz,Da,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. udar u zadnji dio vozila,Udar u zadnji dio vozila,PA,,,,,,,,,,
486,43.862091,18.35333,Lokalna cesta,12.10.2022,16:55:00,Oblačno,Sumrak,Suh,0,0,1,Udar prednjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Ne,Da,0,0,1,0,2.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 108. bočni udar,Bočni sudar,PA,,,,,,,,,,
487,43.8386,18.34658,Regionalna cesta,13.10.2022,11:30:00,Vedro,Dan,Suh,0,0,1,Udar zadnjim dijelom vozila,Urbano,Dvosmjerna cesta,Pravac,Da,Bez raskrsnice,Bez prelaza,Ne,Ne,0,0,1,0,1.0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Član 43. čeoni udar,Čeoni sudar,PA,,,,,,,,,,
